File,Line,Pattern Type,Unwrapped Text,Context
"templates/auth.html",71,"Value attributes (buttons/inputs)","conversational","value=""conversational"""
"templates/auth.html",76,"Value attributes (buttons/inputs)","traditional","value=""traditional"""
"templates/base.html",40,"Alt attributes","{{ branding_context.company_name }}","alt=""{{ branding_context.company_name }}"""
"templates/base.html",104,"Alt attributes","{{ branding_context.company_name }}","alt=""{{ branding_context.company_name }}"""
"templates/business_auth/account_status.html",12,"Headings (h1-h6)","Vocsa","<h2 class=""fw-bold text-primary"">Vocsa</h2>"
"templates/business_auth/activate_account.html",477,"Value attributes (buttons/inputs)","{{ csrf_token() }}","value=""{{ csrf_token() }}"""
"templates/business_auth/activate_account.html",547,"Links (a tags)","support@voia.com","<a href=""mailto:support@voia.com"">support@voia.com</a>"
"templates/business_auth/admin_licenses.html",20,"Paragraphs","Platform license management - {{ total_accounts }} total accounts","<p class=""admin-subtitle"">Platform license management - {{ total_accounts }} total accounts</p>"
"templates/business_auth/admin_licenses.html",69,"Table headers (th)","Business Account","<th>Business Account</th>"
"templates/business_auth/admin_licenses.html",70,"Table headers (th)","License Type","<th>License Type</th>"
"templates/business_auth/admin_licenses.html",71,"Table headers (th)","Status","<th>Status</th>"
"templates/business_auth/admin_licenses.html",72,"Table headers (th)","Campaigns","<th>Campaigns</th>"
"templates/business_auth/admin_licenses.html",73,"Table headers (th)","Users","<th>Users</th>"
"templates/business_auth/admin_licenses.html",74,"Table headers (th)","Respondents","<th>Respondents</th>"
"templates/business_auth/admin_licenses.html",75,"Table headers (th)","Invitations","<th>Invitations</th>"
"templates/business_auth/admin_licenses.html",76,"Table headers (th)","Expiration","<th>Expiration</th>"
"templates/business_auth/admin_licenses.html",77,"Table headers (th)","Actions","<th>Actions</th>"
"templates/business_auth/admin_licenses.html",91,"Spans","{{ account.get('license_type', 'trial')|title }}","<span class=""license-badge license-{{ account.get('license_type', 'trial') }}"">                     "
"templates/business_auth/admin_licenses.html",96,"Spans","{{ account.get('license_status', 'trial')|title }}","<span class=""status-badge status-{{ account.get('license_status', 'trial') }}"">                     "
"templates/business_auth/admin_licenses.html",109,"Divs with text","= 90 %}bg-danger
                                        {% elif usage_percent >= 75 %}bg-warning
                                        {% else %}bg-success{% endif %}"" 
                                        style=""width: {{ usage_percent }}%"">","<div class=""progress-bar                                          {% if usage_percent >= 90 %}bg-dan"
"templates/business_auth/admin_licenses.html",124,"Divs with text","= 90 %}bg-danger
                                        {% elif user_percent >= 75 %}bg-warning
                                        {% else %}bg-info{% endif %}"" 
                                        style=""width: {{ user_percent }}%"">","<div class=""progress-bar                                          {% if user_percent >= 90 %}bg-dang"
"templates/business_auth/admin_licenses.html",156,"Spans","No expiration","<span class=""text-muted"">No expiration</span>"
"templates/business_auth/admin_licenses.html",162,"Title attributes","Manage License","title=""Manage License"""
"templates/business_auth/admin_licenses.html",166,"Title attributes","View History","title=""View History"""
"templates/business_auth/admin_licenses.html",179,"Headings (h1-h6)","No accounts found","<h4>No accounts found</h4>"
"templates/business_auth/admin_licenses.html",180,"Paragraphs","No business accounts match the current filter criteria.","<p class=""text-muted"">No business accounts match the current filter criteria.</p>"
"templates/business_auth/admin_panel_v2.html",702,"Divs with text","Campaigns","<div class=""settings-stat-label"">Campaigns</div>"
"templates/business_auth/admin_panel_v2.html",706,"Divs with text","Users","<div class=""settings-stat-label"">Users</div>"
"templates/business_auth/admin_panel_v2.html",710,"Divs with text","Max Participants","<div class=""settings-stat-label"">Max Participants</div>"
"templates/business_auth/audit_logs.html",21,"Paragraphs","Track all activities and changes in your VOÏA account","<p>Track all activities and changes in your VOÏA account</p>"
"templates/business_auth/audit_logs.html",28,"Divs with text","Total Activities","<div class=""audit-stat-label"">Total Activities</div>"
"templates/business_auth/audit_logs.html",32,"Divs with text","Activity Types","<div class=""audit-stat-label"">Activity Types</div>"
"templates/business_auth/audit_logs.html",36,"Divs with text","Active Users","<div class=""audit-stat-label"">Active Users</div>"
"templates/business_auth/audit_logs.html",40,"Divs with text","Days Shown","<div class=""audit-stat-label"">Days Shown</div>"
"templates/business_auth/audit_logs.html",48,"Labels","Activity Type","<label for=""action_type"">Activity Type</label>"
"templates/business_auth/audit_logs.html",49,"ARIA labels","Filter by activity type","aria-label=""Filter by activity type"""
"templates/business_auth/audit_logs.html",52,"Value attributes (buttons/inputs)","{{ action }}","value=""{{ action }}"""
"templates/business_auth/audit_logs.html",61,"Labels","User","<label for=""user_email"">User</label>"
"templates/business_auth/audit_logs.html",62,"ARIA labels","Filter by user","aria-label=""Filter by user"""
"templates/business_auth/audit_logs.html",65,"Value attributes (buttons/inputs)","{{ user }}","value=""{{ user }}"""
"templates/business_auth/audit_logs.html",74,"Labels","Time Period","<label for=""days_back"">Time Period</label>"
"templates/business_auth/audit_logs.html",75,"ARIA labels","Filter by time period","aria-label=""Filter by time period"""
"templates/business_auth/audit_logs.html",84,"ARIA labels","Apply filters","aria-label=""Apply filters"""
"templates/business_auth/audit_logs.html",96,"ARIA labels","Audit logs table","aria-label=""Audit logs table"""
"templates/business_auth/audit_logs.html",99,"Table headers (th)","Time","<th scope=""col"">Time</th>"
"templates/business_auth/audit_logs.html",100,"Table headers (th)","User","<th scope=""col"">User</th>"
"templates/business_auth/audit_logs.html",101,"Table headers (th)","Activity","<th scope=""col"">Activity</th>"
"templates/business_auth/audit_logs.html",102,"Table headers (th)","Description","<th scope=""col"">Description</th>"
"templates/business_auth/audit_logs.html",103,"Table headers (th)","Resource","<th scope=""col"">Resource</th>"
"templates/business_auth/audit_logs.html",110,"Divs with text","{{ log.formatted_time or log.created_at }}","<div class=""audit-time"">                                     {{ log.formatted_time or log.created_at"
"templates/business_auth/audit_logs.html",115,"Divs with text","{{ log.user_name or log.user_email or 'System' }}","<div class=""audit-user"">                                     {{ log.user_name or log.user_email or '"
"templates/business_auth/audit_logs.html",119,"Divs with text","{{ log.user_email }}","<div class=""audit-user-email"">                                         {{ log.user_email }}         "
"templates/business_auth/audit_logs.html",133,"Spans","{{ log.action_type.replace('_', ' ') }}","<span class=""audit-action-badge {{ action_class }}""                                        role=""sta"
"templates/business_auth/audit_logs.html",135,"ARIA labels","{{ log.action_type.replace('_', ' ') }} activity","aria-label=""{{ log.action_type.replace('_', ' ') }} activity"""
"templates/business_auth/audit_logs.html",140,"Divs with text","{{ log.action_description }}","<div class=""audit-description"">                                     {{ log.action_description }}    "
